p,Db,Db_r2,lam4,lam8,lam16,lam32,lam64,zone,rep,row,col
0.25552,1.58167,0.99697,2.72533,2.09396,1.57099,1.24541,1.04378,west,footprints,2,2
0.26019,1.65775,0.99574,2.21456,1.59766,1.25925,1.08924,1.02533,west,footprints,3,0
0.43435,1.75253,0.99844,1.83648,1.55113,1.27807,1.11142,1.03338,west,footprints,3,1
0.27744,1.58615,0.99786,2.80712,2.17708,1.5316,1.16293,1.04162,west,footprints,3,2
0.26029,1.63034,0.99787,2.47903,1.90634,1.46545,1.19308,1.0669,west,footprints,4,0
0.4332,1.76546,0.99846,1.72152,1.43365,1.2203,1.09825,1.04029,west,footprints,4,1
0.37981,1.68591,0.99812,2.12048,1.72217,1.36149,1.15675,1.07126,west,footprints,4,2
0.28933,1.65165,0.99662,2.33904,1.75159,1.3344,1.13461,1.04677,west,footprints,5,0
0.3208,1.66549,0.99762,2.15729,1.63373,1.28592,1.1325,1.0565,west,footprints,5,1
0.25194,1.53512,0.9979,3.03155,2.36138,1.66806,1.19851,1.04957,west,footprints,5,2
0.3129,1.61832,0.99809,2.46896,1.95793,1.41115,1.1199,1.02198,west,footprints,6,0
0.29517,1.62642,0.99676,2.47744,1.86815,1.36584,1.1363,1.03523,west,footprints,6,1
0.30253,1.60979,0.9982,2.62072,2.09527,1.56414,1.24067,1.07578,west,footprints,6,2
0.38563,1.66352,0.99881,2.19877,1.87798,1.50758,1.23023,1.07843,west,footprints,7,0
0.35475,1.67494,0.99823,2.26799,1.88324,1.48705,1.21834,1.07838,west,footprints,7,1
0.1768,1.56061,0.99902,4.23074,3.31394,2.46133,1.94106,1.56879,west,footprints,7,2
0.30646,1.62991,0.99958,2.77416,2.4164,1.98841,1.5808,1.2582,west,footprints,8,0
0.23368,1.56924,0.99993,3.66382,3.22103,2.68743,2.05615,1.43503,west,footprints,8,1
0.24053,1.66691,0.99914,3.15247,2.61866,2.1003,1.7644,1.52686,west,footprints,8,2
0.28378,1.61938,0.99596,2.44174,1.85506,1.38505,1.12453,1.02902,west,footprints,9,0
0.28888,1.59091,0.99943,2.85824,2.41526,1.89006,1.43447,1.12672,west,footprints,9,1
