p,Db,Db_r2,lam4,lam8,lam16,lam32,lam64,zone,rep,row,col
0.25126,1.62884,0.99704,2.74654,2.17857,1.71887,1.39439,1.18072,east,footprints,12,2
0.01006,,,,,,,,east,footprints,13,0
0.04928,1.20489,0.9946,14.39577,9.84046,5.72591,3.35385,2.01379,east,footprints,13,1
0.17731,1.52126,0.99984,4.719,4.03875,3.29085,2.5613,1.96839,east,footprints,13,2
0.02355,1.15202,0.99935,26.47362,17.48638,10.12841,6.23463,3.87245,east,footprints,14,0
0.00691,,,,,,,,east,footprints,14,1
0.21504,1.52366,0.99979,3.4676,2.64028,1.95271,1.45167,1.16777,east,footprints,14,2
0.11798,1.50149,0.99917,5.95753,4.21969,3.15894,2.61728,2.16937,east,footprints,15,0
0.10082,1.42731,0.99959,7.36288,5.66785,4.3366,3.62394,2.82392,east,footprints,15,1
0.24709,1.56396,0.99851,3.07494,2.35141,1.69803,1.30844,1.0797,east,footprints,15,2
